ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-5846N|refseq:NP_001828|uniprotkb:P51677	 DIP-5893N|uniprotkb:P02778	 -	 -	 -	-	MI:0045(experimental interaction detection)	-	pmid:11110785	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-11073E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-33566N|uniprotkb:O14763	 DIP-6236N|refseq:NP_003801	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9325248	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-11076E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-6236N|refseq:NP_003801	 DIP-6242N|uniprotkb:O14798	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9325248	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-11077E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-6243N|uniprotkb:Q9UNG2	 DIP-6244N|refseq:NP_683700	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:10037686	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-11078E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-6245N|uniprotkb:P19438	 DIP-2895N|refseq:NP_000585|uniprotkb:P01375	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:2170974	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-11079E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-6246N|uniprotkb:P17813	 DIP-5938N|uniprotkb:P37023	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:10767348	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-11080E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-252N|refseq:NP_031586|uniprotkb:P36898	 DIP-5800N|refseq:NP_001710|uniprotkb:P18075	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9261125	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-11081E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-5939N|refseq:NP_003233|uniprotkb:P37173	 DIP-5940N|refseq:NP_003234|uniprotkb:Q03167	 -	 -	 -	-	MI:0030(cross-linking study)	-	pmid:11323414	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-11082E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-6249N|refseq:NP_062291	 DIP-2928N|refseq:NP_002333|uniprotkb:P36941	 -	 -	 -	-	MI:0401(biochemical)	-	pmid:9739048	taxid:10090	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-11084E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-407N|refseq:NP_001056|uniprotkb:P19438	 DIP-6250N|refseq:NP_057376|uniprotkb:Q12931	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:7876093	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-11085E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-5971N|uniprotkb:P38398	 DIP-5971N|uniprotkb:P38398	 -	 -	 -	-	MI:0030(cross-linking study)|MI:0071(molecular sieving)	-	pmid:10026184|pmid:10026184	taxid:9606	taxid:9606	MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-17831E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-5972N|refseq:NP_000456	 DIP-5972N|refseq:NP_000456	 -	 -	 -	-	MI:0071(molecular sieving)|MI:0030(cross-linking study)	-	pmid:10026184|pmid:10026184	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-17832E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-1121N|uniprotkb:P16070	 DIP-10043N|refseq:NP_417025|uniprotkb:P39171	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:11983079	taxid:9606	taxid:562	MI:0218(physical interaction)	MI:0465(dip)	DIP-18092E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-1121N|uniprotkb:P16070	 DIP-1121N|uniprotkb:P16070	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)	-	pmid:11994155	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-18113E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17011N|uniprotkb:Q13309	 DIP-17012N|uniprotkb:P63208	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:11961546	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-18670E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	 DIP-17012N|uniprotkb:P63208	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:11961546	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-18671E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17014N|refseq:NP_055063|uniprotkb:P62877	 DIP-17013N|refseq:NP_003583|uniprotkb:Q13616	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:11961546	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-18672E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17015N|uniprotkb:O43516	 DIP-17016N|uniprotkb:O08816	 -	 -	 -	-	MI:0004(affinity chromatography technology)|MI:0049(filter binding)|MI:0077(nuclear magnetic resonance)	-	pmid:10878810|pmid:12437929|pmid:12437929	taxid:9606	taxid:10116	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-18673E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-17015N|uniprotkb:O43516	 DIP-639N|refseq:NP_006144|uniprotkb:P16333	 -	 -	 -	-	MI:0004(affinity chromatography technology)	-	pmid:10878810	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-18674E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17017N|uniprotkb:Q13309	 DIP-17012N|uniprotkb:P63208	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:11099048	taxid:9606	taxid:9606	MI:0407(direct interaction)	MI:0465(dip)	DIP-18675E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-6082N|uniprotkb:P60953	 DIP-17016N|uniprotkb:O08816	 -	 -	 -	-	MI:0004(affinity chromatography technology)	-	pmid:10878810	taxid:9606	taxid:10116	MI:0218(physical interaction)	MI:0465(dip)	DIP-18852E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-639N|refseq:NP_006144|uniprotkb:P16333	 DIP-17016N|uniprotkb:O08816	 -	 -	 -	-	MI:0004(affinity chromatography technology)	-	pmid:10878810	taxid:9606	taxid:10116	MI:0218(physical interaction)	MI:0465(dip)	DIP-18853E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-311N|uniprotkb:P02568	 DIP-17022N|refseq:NP_055566|uniprotkb:O43312	 -	 -	 -	-	MI:0401(biochemical)|MI:0004(affinity chromatography technology)	-	pmid:12570871|pmid:12570871	taxid:9986	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18856E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-17023N|refseq:NP_002830|uniprotkb:P23468	 DIP-17022N|refseq:NP_055566|uniprotkb:O43312	 -	 -	 -	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pmid:12570871|pmid:12570871	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18857E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-29078N|uniprotkb:P63279	 DIP-17024N|uniprotkb:P46061	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:11853669	taxid:9606	taxid:10090	MI:0407(direct interaction)	MI:0465(dip)	DIP-18858E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-76N|refseq:NP_000424|uniprotkb:P19878	 DIP-2664N|refseq:NP_032703|uniprotkb:P97369	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:9490029	taxid:9606	taxid:10090	MI:0218(physical interaction)	MI:0465(dip)	DIP-18860E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17027N|uniprotkb:Q93068	 DIP-17024N|uniprotkb:P46061	 -	 -	 -	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pmid:9019411|pmid:9019411	taxid:9606	taxid:10090	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18861E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-29078N|uniprotkb:P63279	 DIP-17028N|uniprotkb:P41212	 -	 -	 -	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pmid:10377438|pmid:10377438|pmid:10377438	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18862E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-17027N|uniprotkb:Q93068	 DIP-17028N|uniprotkb:P41212	 -	 -	 -	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0401(biochemical)|MI:0401(biochemical)	-	pmid:11078523|pmid:11078523|pmid:11078523|pmid:11078523	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-18863E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-17027N|uniprotkb:Q93068	 DIP-29078N|uniprotkb:P63279	 -	 -	 -	-	MI:0018(two hybrid)	-	pmid:8921390	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-18864E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17032N|uniprotkb:P11171	 DIP-17030N|uniprotkb:P02570	 -	 -	 -	-	MI:0028(cosedimentation in solution)	-	pmid:12044158	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-18868E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17035N|refseq:NP_036439|uniprotkb:Q9Y2J2	 DIP-17030N|uniprotkb:P02570	 -	 -	 -	-	MI:0028(cosedimentation in solution)	-	pmid:12044158	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-18869E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17030N|uniprotkb:P02570	 DIP-17034N|uniprotkb:O43491	 -	 -	 -	-	MI:0028(cosedimentation in solution)	-	pmid:12044158	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-18870E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17038N|uniprotkb:P02774	 DIP-311N|uniprotkb:P02568	 -	 -	 -	-	MI:0114(x-ray crystallography)	-	pmid:12119014	taxid:9606	taxid:9986	MI:0407(direct interaction)	MI:0465(dip)	DIP-18876E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17039N|uniprotkb:Q9Y4G6	 DIP-311N|uniprotkb:P02568	 -	 -	 -	-	MI:0028(cosedimentation in solution)	-	pmid:10581178	taxid:9606	taxid:9986	MI:0218(physical interaction)	MI:0465(dip)	DIP-18877E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17041N|uniprotkb:O00291	 DIP-311N|uniprotkb:P02568	 -	 -	 -	-	MI:0028(cosedimentation in solution)	-	pmid:10581178	taxid:9606	taxid:9986	MI:0218(physical interaction)	MI:0465(dip)	DIP-18879E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-17042N|uniprotkb:O75146	 DIP-311N|uniprotkb:P02568	 -	 -	 -	-	MI:0028(cosedimentation in solution)	-	pmid:10581178	taxid:9606	taxid:9986	MI:0218(physical interaction)	MI:0465(dip)	DIP-18880E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-30N|refseq:NP_005013|uniprotkb:P07737	 DIP-310N|refseq:NP_116614|uniprotkb:P60010	 -	 -	 -	-	MI:0051(fluorescence technology)	-	pmid:9698363	taxid:9606	taxid:4932	MI:0218(physical interaction)	MI:0465(dip)	DIP-18882E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-24169N|uniprotkb:Q64364	 DIP-24172N|refseq:NP_002848|uniprotkb:P40855	 -	 -	 -	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)	-	pmid:12154087|pmid:11259404|pmid:11259404	taxid:10090	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40029E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24170N|uniprotkb:Q9NXV6	 DIP-24169N|uniprotkb:Q64364	 -	 -	 -	-	MI:0018(two hybrid)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)	-	pmid:12581788|pmid:12154087|pmid:12154087	taxid:9606	taxid:10090	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40030E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24171N|refseq:NP_478102|uniprotkb:Q8N726	 DIP-24170N|uniprotkb:Q9NXV6	 -	 -	 -	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)	-	pmid:12581788|pmid:12154087	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40031E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24224N|uniprotkb:Q00987	 DIP-24169N|uniprotkb:Q64364	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)	-	pmid:10348346|pmid:11259404|pmid:9529248|pmid:10713175	taxid:9606	taxid:10090	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40032E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24182N|uniprotkb:O14757	 DIP-166N|uniprotkb:P30304	 -	 -	 -	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pmid:9278511|pmid:9278511|pmid:9278511	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40047E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-323N|uniprotkb:P30305	 DIP-24182N|uniprotkb:O14757	 -	 -	 -	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pmid:9278511|pmid:9278511	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40048E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24187N|refseq:NP_002937|uniprotkb:P15927	 DIP-24190N|uniprotkb:P35244	 -	 -	 -	-	MI:0029(cosedimentation through density gradient)|MI:0028(cosedimentation in solution)|MI:0071(molecular sieving)|MI:0028(cosedimentation in solution)|MI:0401(biochemical)|MI:0401(biochemical)|MI:0401(biochemical)|MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)	-	pmid:10336450|pmid:8663296|pmid:12509449|pmid:7760808|pmid:12509449|pmid:8157639|pmid:8972858|pmid:8157639|pmid:10064605|pmid:7760808|pmid:8663296|pmid:8972858	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40049E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24183N|uniprotkb:P30307	 DIP-24182N|uniprotkb:O14757	 -	 -	 -	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pmid:9278511|pmid:9278511	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40051E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24184N|refseq:NP_004955|uniprotkb:Q13547	 DIP-148N|uniprotkb:P28749	 -	 -	 -	-	MI:0401(biochemical)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)	-	pmid:9724731|pmid:9724731|pmid:9724731	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40052E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24184N|refseq:NP_004955|uniprotkb:Q13547	 DIP-425N|refseq:NP_005602|uniprotkb:Q08999	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9724731	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-40053E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-582N|refseq:NP_000312|uniprotkb:P06400	 DIP-24184N|refseq:NP_004955|uniprotkb:Q13547	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0004(affinity chromatography technology)|MI:0401(biochemical)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)	-	pmid:9468140|pmid:9468139|pmid:9724731|pmid:9724731|pmid:9468139|pmid:9468140|pmid:9468139|pmid:9468140	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40054E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24185N|uniprotkb:Q16254	 DIP-24184N|refseq:NP_004955|uniprotkb:Q13547	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9724731	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-40055E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-148N|uniprotkb:P28749	 DIP-24185N|uniprotkb:Q16254	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:9724731	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-40056E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-24187N|refseq:NP_002937|uniprotkb:P15927	 DIP-24186N|uniprotkb:P78527	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:10064605	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-40057E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-24186N|uniprotkb:P78527	 DIP-24188N|refseq:NP_001460|uniprotkb:P12956	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:10064605	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-40058E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-24188N|refseq:NP_001460|uniprotkb:P12956	 DIP-24187N|refseq:NP_002937|uniprotkb:P15927	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:10064605	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-40059E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-24187N|refseq:NP_002937|uniprotkb:P15927	 DIP-24189N|uniprotkb:P27694	 -	 -	 -	-	MI:0071(molecular sieving)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0028(cosedimentation in solution)|MI:0416(fluorescence microscopy)|MI:0401(biochemical)|MI:0029(cosedimentation through density gradient)|MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)|MI:0401(biochemical)|MI:0028(cosedimentation in solution)	-	pmid:12509449|pmid:8972858|pmid:7760808|pmid:8663296|pmid:7760808|pmid:12509449|pmid:8972858|pmid:10336450|pmid:10064605|pmid:8663296|pmid:7876167|pmid:8663296	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40060E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24186N|uniprotkb:P78527	 DIP-24189N|uniprotkb:P27694	 -	 -	 -	-	MI:0019(coimmunoprecipitation)	-	pmid:10064605	taxid:9606	taxid:9606	MI:0218(physical interaction)	MI:0465(dip)	DIP-40061E	dip-quality-status:core	dip:0002(small scale)	dip:0039(experimental-processed)	-
DIP-333N|uniprotkb:P43351	 DIP-24189N|uniprotkb:P27694	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)	-	pmid:9826763|pmid:8702565|pmid:8702565|pmid:8702565|pmid:8702565	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40062E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-24187N|refseq:NP_002937|uniprotkb:P15927	 DIP-333N|uniprotkb:P43351	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0077(nuclear magnetic resonance)|MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)|MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)	-	pmid:8702565|pmid:11081631|pmid:8702565|pmid:8702565|pmid:8702565|pmid:8702565	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40063E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
DIP-333N|uniprotkb:P43351	 DIP-24190N|uniprotkb:P35244	 -	 -	 -	-	MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)	-	pmid:8702565|pmid:8702565	taxid:9606	taxid:9606	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40064E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)	dip:0039(experimental-processed)|dip:0039(experimental-processed)	-
